,idProject,nameProject,productionClass,testCase,NMC,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
1,15.0,marine-api,AbstractAISMessageListener,net.sf.marineapi.ais.event.abstractaismessagelistenertest.testonmessagewithexpectedmessage,0.0,0.4504971813729183,False,False,False
2,15.0,marine-api,AISMessage04,net.sf.marineapi.ais.parser.aismessage04test.getlongitudeindegrees,1.0,0.4612208088639145,False,False,False
3,15.0,marine-api,AISMessage05,net.sf.marineapi.ais.parser.aismessage05test.getetahour,1.0,0.3828111738605444,False,False,False
4,15.0,marine-api,AISMessage09Parser,net.sf.marineapi.ais.parser.aismessage09parsertest.getdteflag,1.0,0.4461296908286735,False,False,False
6,15.0,marine-api,AISMessage21Parser,net.sf.marineapi.ais.parser.aismessage21parsertest.getbow,1.0,0.3867131480033579,False,False,False
7,15.0,marine-api,AISMessage21Parser,net.sf.marineapi.ais.parser.aismessage21parsertest.getoffpositionindicator,1.0,0.4847599726723955,False,False,False
8,15.0,marine-api,AISMessage21Parser,net.sf.marineapi.ais.parser.aismessage21parsertest.getport,1.0,0.3867131480033579,False,False,False
16,15.0,marine-api,AISMessage24Parser,net.sf.marineapi.ais.parser.aismessage24parsertest.getvendorid,1.0,0.4175239643154251,False,False,False
20,15.0,marine-api,AISMessageParser,net.sf.marineapi.ais.parser.aismessageparsertest.testgetrepeatindicator,0.0,0.6034537775892073,True,False,False
21,15.0,marine-api,AISPositionReportBParser,net.sf.marineapi.ais.parser.aispositionreportbparsertest.getpositionaccuracy,1.0,0.5698612873441702,False,False,False
22,15.0,marine-api,AISPositionReportBParser,net.sf.marineapi.ais.parser.aispositionreportbparsertest.getspeedoverground,1.0,0.4874259273903166,False,False,False
23,15.0,marine-api,AISPositionReportBParser,net.sf.marineapi.ais.parser.aispositionreportbparsertest.gettimestamp,1.0,0.5334521110298605,False,False,False
24,15.0,marine-api,AISPositionReportBParser,net.sf.marineapi.ais.parser.aispositionreportbparsertest.haslongitude,1.0,0.5347870501138475,False,False,False
26,15.0,marine-api,AISPositionReportParser,net.sf.marineapi.ais.parser.aispositionreportparsertest.getrateofturn,1.0,0.5458710948782319,False,False,False
27,15.0,marine-api,AISPositionReportParser,net.sf.marineapi.ais.parser.aispositionreportparsertest.gettimestamp,1.0,0.5266773829405245,False,False,False
28,15.0,marine-api,AISPositionReportParser,net.sf.marineapi.ais.parser.aispositionreportparsertest.hascourseoverground,1.0,0.5599041357627045,False,False,False
29,15.0,marine-api,AISPositionReportParser,net.sf.marineapi.ais.parser.aispositionreportparsertest.hasspeedoverground,1.0,0.5599041357627045,False,False,False
32,15.0,marine-api,Latitude27,net.sf.marineapi.ais.util.latitude27test.conversiontoknotsworks,0.0,0.5631268820998165,False,False,False
33,15.0,marine-api,Latitude27,net.sf.marineapi.ais.util.latitude27test.defaultvalueisnotavailable,0.0,0.3073109279930909,False,False,False
34,15.0,marine-api,Latitude27,net.sf.marineapi.ais.util.latitude27test.largevalueisnotcorrect,0.0,0.276792808408399,False,False,False
35,15.0,marine-api,Latitude27,net.sf.marineapi.ais.util.latitude27test.maxvalueisavailable,0.0,0.273911637255175,False,False,False
38,15.0,marine-api,Longitude28,net.sf.marineapi.ais.util.longitude28test.defaultvalueiscorrect,0.0,0.2972929243682679,False,False,False
40,15.0,marine-api,SpeedOverGround,net.sf.marineapi.ais.util.speedovergroundtest.conversionreturnsoninvalidvalues,0.0,0.5522359112537336,False,False,False
42,15.0,marine-api,SpeedOverGround,net.sf.marineapi.ais.util.speedovergroundtest.minvalueisavailable,0.0,0.2997823898873282,False,False,False
43,15.0,marine-api,AbstractSentenceListener,net.sf.marineapi.nmea.event.abstractsentencelistenertest.testextendedgenericslistenerwithexpectedsentence,0.0,0.4162486956995159,False,False,False
44,15.0,marine-api,AbstractSentenceListener,net.sf.marineapi.nmea.event.abstractsentencelistenertest.testgenericshidinglistenerwithexpectedsentence,0.0,0.4804633094585325,False,False,False
45,15.0,marine-api,AbstractSentenceListener,net.sf.marineapi.nmea.event.abstractsentencelistenertest.testgenericshidinglistenerwithunexpectedsentence,0.0,0.4803571906400139,False,False,False
46,15.0,marine-api,SentenceReader,net.sf.marineapi.nmea.io.sentencereadertest.testaddsentencelistenersentencelistenerstring,0.0,0.7243551949767942,True,False,False
47,15.0,marine-api,SentenceReader,net.sf.marineapi.nmea.io.sentencereadertest.testdatalistener,0.0,0.7032855843280987,True,False,False
48,15.0,marine-api,SentenceReader,net.sf.marineapi.nmea.io.sentencereadertest.testfirereadingpaused,0.0,0.6600965626448634,True,True,False
50,15.0,marine-api,SentenceReader,net.sf.marineapi.nmea.io.sentencereadertest.testremovesentencelistener,0.0,0.5799266753608697,False,False,False
52,15.0,marine-api,PositionParser,net.sf.marineapi.nmea.parser.positionparsertest.testsetlathemisphere,0.0,0.4275551226094638,False,False,False
56,15.0,marine-api,SentenceFactory,net.sf.marineapi.nmea.parser.sentencefactorytest.testcreateparserwithemptystring,0.0,0.3683730100163137,False,False,False
61,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testequalswithnonequal,0.0,0.556384083410695,False,False,False
63,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testgetdoublevaluewithemptyfields,0.0,0.5216826428730779,False,False,False
64,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testgetdoublevaluewithinvalidvalue,0.0,0.5220288814418159,False,False,False
70,15.0,marine-api,SentenceValidator,net.sf.marineapi.nmea.sentence.sentencevalidatortest.testissentencewithoutchecksum,0.0,0.3024593154241565,False,False,False
74,15.0,marine-api,Date,net.sf.marineapi.nmea.util.datetest.testsetyeartwodigit,0.0,0.629222744255856,True,True,False
76,15.0,marine-api,Date,net.sf.marineapi.nmea.util.datetest.testtoiso8601withtime,0.0,0.6336289165562936,True,False,False
77,15.0,marine-api,Date,net.sf.marineapi.nmea.util.datetest.testtoiso8601withtimeandzerozone,0.0,0.64102901836815,True,False,False
78,15.0,marine-api,Position,net.sf.marineapi.nmea.util.positiontest.testgetlatitudehemisphere,0.0,0.4940216434206534,False,False,False
80,15.0,marine-api,Position,net.sf.marineapi.nmea.util.positiontest.testsetillegallongitudewest,0.0,0.5587769039499135,False,False,False
81,15.0,marine-api,Position,net.sf.marineapi.nmea.util.positiontest.testsetlatitudenorth,0.0,0.4796756998684306,False,False,False
82,15.0,marine-api,Position,net.sf.marineapi.nmea.util.positiontest.testsetlongitudeeast,0.0,0.476246263575327,False,False,False
86,15.0,marine-api,Time,net.sf.marineapi.nmea.util.timetest.testsetinvalidseconds,0.0,0.4344424383791861,False,False,False
89,15.0,marine-api,HeadingProvider,net.sf.marineapi.provider.headingprovidertest.testhdgsentenceread,0.0,0.4446684272711397,False,False,False
0,15.0,marine-api,AbstractAISMessageListener,net.sf.marineapi.ais.event.abstractaismessagelistenertest.testconstructor,0.0,0.4527344381982976,False,False,False
5,15.0,marine-api,AISMessage09Parser,net.sf.marineapi.ais.parser.aismessage09parsertest.getradiostatus,1.0,0.4726219688042924,False,False,False
9,15.0,marine-api,AISMessage21Parser,net.sf.marineapi.ais.parser.aismessage21parsertest.getregional,1.0,0.4038174421995051,False,False,False
10,15.0,marine-api,AISMessage21Parser,net.sf.marineapi.ais.parser.aismessage21parsertest.getstern,1.0,0.3867131480033579,False,False,False
11,15.0,marine-api,AISMessage21Parser,net.sf.marineapi.ais.parser.aismessage21parsertest.haslatitude,1.0,0.6311546702602255,True,False,True
12,15.0,marine-api,AISMessage21Parser,net.sf.marineapi.ais.parser.aismessage21parsertest.haslongitude,1.0,0.6311546702602255,True,False,True
13,15.0,marine-api,AISMessage24Parser,net.sf.marineapi.ais.parser.aismessage24parsertest.getpartnumber,1.0,0.3892191553552455,False,False,False
14,15.0,marine-api,AISMessage24Parser,net.sf.marineapi.ais.parser.aismessage24parsertest.getstern,1.0,0.3422245019236113,False,False,False
15,15.0,marine-api,AISMessage24Parser,net.sf.marineapi.ais.parser.aismessage24parsertest.getunitmodelcode,1.0,0.4617796015388891,False,False,False
17,15.0,marine-api,AISMessageFactory,net.sf.marineapi.ais.parser.aismessagefactorytest.testcreatewithincorrectorder,0.0,0.5008764628541402,False,False,False
18,15.0,marine-api,AISMessageParser,net.sf.marineapi.ais.parser.aismessageparsertest.testappendnegativefillbits,0.0,0.3678558325099035,False,False,False
19,15.0,marine-api,AISMessageParser,net.sf.marineapi.ais.parser.aismessageparsertest.testgetmessagetype,0.0,0.4673737527322448,False,False,False
25,15.0,marine-api,AISPositionReportParser,net.sf.marineapi.ais.parser.aispositionreportparsertest.getcourseoverground,1.0,0.510811627931286,False,False,False
30,15.0,marine-api,AISPositionReportParser,net.sf.marineapi.ais.parser.aispositionreportparsertest.hastimestamp,1.0,0.5792959348587086,False,False,False
31,15.0,marine-api,Latitude27,net.sf.marineapi.ais.util.latitude27test.conversionreturnsoninvalidvalues,0.0,0.5725530612639025,False,False,False
36,15.0,marine-api,Latitude27,net.sf.marineapi.ais.util.latitude27test.zeroisavailable,0.0,0.3778934113166378,False,False,False
37,15.0,marine-api,Longitude28,net.sf.marineapi.ais.util.longitude28test.conversiontoknotsworks,0.0,0.5631268820998165,False,False,False
39,15.0,marine-api,Longitude28,net.sf.marineapi.ais.util.longitude28test.minvalueisavailable,0.0,0.273911637255175,False,False,False
41,15.0,marine-api,SpeedOverGround,net.sf.marineapi.ais.util.speedovergroundtest.maxvalueisavailable,0.0,0.3099005575143451,False,False,False
49,15.0,marine-api,SentenceReader,net.sf.marineapi.nmea.io.sentencereadertest.testfirereadingstarted,0.0,0.6663320805072747,True,False,True
51,15.0,marine-api,Checksum,net.sf.marineapi.nmea.parser.checksumtest.testadd,0.0,0.5873225613548322,False,False,False
53,15.0,marine-api,PositionParser,net.sf.marineapi.nmea.parser.positionparsertest.testsetlongitude,0.0,0.4253666158354913,False,False,False
54,15.0,marine-api,PositionParser,net.sf.marineapi.nmea.parser.positionparsertest.testsetlonhemisphere,0.0,0.4480521611133928,False,False,False
55,15.0,marine-api,SentenceFactory,net.sf.marineapi.nmea.parser.sentencefactorytest.testcreateparser,0.0,0.5107071698944192,False,False,False
57,15.0,marine-api,SentenceFactory,net.sf.marineapi.nmea.parser.sentencefactorytest.testgetinstance,0.0,0.5363674122731059,False,False,False
58,15.0,marine-api,SentenceFactory,net.sf.marineapi.nmea.parser.sentencefactorytest.testsupportedtypesregistered,0.0,0.4029135447792833,False,True,False
59,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testconstructorwithaivdo,0.0,0.6329507837107082,True,False,False
60,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testconstructorwithinvalidsentence,0.0,0.570057847773091,False,False,False
62,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testequalswithself,0.0,0.6228030396903839,True,False,True
65,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testgetstringvaluewithindexgreaterthanallowed,0.0,0.5457077588962033,False,False,False
66,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testsetfieldcounthigher,0.0,0.5781150709120055,False,False,False
67,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testsetfieldcounthigherbyone,0.0,0.6883507026042168,True,False,False
68,15.0,marine-api,SentenceParser,net.sf.marineapi.nmea.parser.sentenceparsertest.testtosentencewithmaxlengthexceeded,0.0,0.5178755159970327,False,False,False
69,15.0,marine-api,SentenceValidator,net.sf.marineapi.nmea.sentence.sentencevalidatortest.testissentencewithchecksumandnewline,0.0,0.3055599480960291,False,False,False
71,15.0,marine-api,SentenceValidator,net.sf.marineapi.nmea.sentence.sentencevalidatortest.testisvalidwithinvalidinput,0.0,0.3458762681696979,False,False,False
72,15.0,marine-api,Date,net.sf.marineapi.nmea.util.datetest.testequalswrongtype,0.0,0.6113239884571013,True,False,False
73,15.0,marine-api,Date,net.sf.marineapi.nmea.util.datetest.testgetyear,0.0,0.5272476049649388,False,False,False
75,15.0,marine-api,Date,net.sf.marineapi.nmea.util.datetest.testtoiso8601fourdigityear,0.0,0.5693307390189658,False,False,False
79,15.0,marine-api,Position,net.sf.marineapi.nmea.util.positiontest.testsetillegallongitudeeast,0.0,0.5573824953616223,False,False,False
83,15.0,marine-api,Position,net.sf.marineapi.nmea.util.positiontest.testtowaypoint,0.0,0.546835134440515,False,False,False
84,15.0,marine-api,Time,net.sf.marineapi.nmea.util.timetest.testformattimewithdecimals,0.0,0.402218581453951,False,False,False
85,15.0,marine-api,Time,net.sf.marineapi.nmea.util.timetest.testparsetimewithoutdecimals,0.0,0.3524889432360114,False,False,False
87,15.0,marine-api,Time,net.sf.marineapi.nmea.util.timetest.testsetminutes,0.0,0.397749088348772,False,False,False
88,15.0,marine-api,Time,net.sf.marineapi.nmea.util.timetest.testsettime,0.0,0.4681461321098613,False,False,False
90,15.0,marine-api,HeadingProvider,net.sf.marineapi.provider.headingprovidertest.testhdmsentenceread,0.0,0.4434414103147526,False,False,False
