,idProject,nameProject,productionClass,testCase,NMC,isEagerTest,isEagerTestManual,prediction
1,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testls,0.0,False,False,False
2,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testlsfile,0.0,False,False,False
3,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testlssortreverse,0.0,False,False,False
4,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testlsstarstarstarjava,0.0,True,False,False
5,36.0,unix4j,OptionSetDefinitionDataLoader,org.unix4j.codegen.optionsetdefinitiondataloadertest.testoptionsetdefinition,0.0,True,True,False
8,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testnewlinelengthabovetwo,0.0,False,False,False
10,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testnewlinelengthnegativewithoffsetandlengths,0.0,False,False,False
11,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testunixline,0.0,False,False,False
12,36.0,unix4j,LineOperation,org.unix4j.operation.lineoperationtest.testonlyevenlines,1.0,False,True,False
15,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_squeezeemptylines,1.0,False,False,False
19,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testcharactercut2,1.0,False,False,False
21,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testrangecut3,1.0,False,False,False
23,36.0,unix4j,EchoCommand,org.unix4j.unix.echotest.testtwomessages,0.0,False,False,False
25,36.0,unix4j,Unix4j,org.unix4j.unix.greptest.testcountonrelativefileswithcd,1.0,False,False,False
27,36.0,unix4j,Unix4j,org.unix4j.unix.greptest.testgrepwholeline,0.0,False,True,False
29,36.0,unix4j,HeadCommand,org.unix4j.unix.headtest.testhead_negativelines,0.0,False,False,False
30,36.0,unix4j,HeadCommand,org.unix4j.unix.headtest.testhead_noinput_1,0.0,False,False,False
33,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_delete,5.0,False,False,False
34,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_printquietcaseinsensitive,4.0,False,False,False
36,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceignorecase,4.0,False,False,False
38,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceoccurrence2,4.0,False,False,False
41,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortnumbersreverse,0.0,False,False,False
42,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortnumericreverse,0.0,False,False,False
43,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortoneline,0.0,False,False,True
44,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortuniqueignoreblanks,0.0,False,False,False
46,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortwithduplicateuniques,0.0,False,False,False
47,36.0,unix4j,MultilineString,org.unix4j.unix.tailtest.testtail_1,1.0,False,False,False
51,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testsingleline,0.0,False,False,False
54,36.0,unix4j,XargsCommand,org.unix4j.unix.xargstest.testxargswithdefaultcommand,2.0,False,False,False
55,36.0,unix4j,XargsCommand,org.unix4j.unix.xargstest.testxargswithechoandargsfrom0variable,2.0,False,False,False
56,36.0,unix4j,XargsCommand,org.unix4j.unix.xargstest.testxargswithechoandargsfrom1variable,2.0,False,False,False
61,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testlswithshortoptionsandlongandfiles,2.0,False,False,False
63,36.0,unix4j,DecimalNumberStringComparator,org.unix4j.util.decimalnumberstringcomparatortest.testlargeintegers,0.0,True,False,False
64,36.0,unix4j,DecimalNumberStringComparator,org.unix4j.util.decimalnumberstringcomparatortest.testrandomdoublepairs,0.0,True,False,False
65,36.0,unix4j,FileUtil,org.unix4j.util.fileutiltest.testrelativepath_5_nocommonancestor,0.0,False,False,False
69,36.0,unix4j,ScientificNumberStringComparator,org.unix4j.util.scientificnumberstringcomparatortest.testlargedecimals,0.0,True,False,False
72,36.0,unix4j,StringUtil,org.unix4j.util.stringutiltest.testfixedlengthwithintvalue,0.0,True,True,False
74,36.0,unix4j,StringUtil,org.unix4j.util.stringutiltest.testsplitlines,0.0,True,True,False
75,36.0,unix4j,VersionStringComparator,org.unix4j.util.versionstringcomparatortest.testequal,0.0,True,False,False
0,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testechogrepnomatch,0.0,False,False,True
6,36.0,unix4j,SimpleLine,org.unix4j.line.simplelinetest.testnewlinelengthabovetwo,0.0,False,False,True
7,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testcontentnull,0.0,False,False,True
9,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testnewlinelengthnegative,0.0,False,False,False
13,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_numberlines,2.0,False,False,False
14,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_numbernonblanklines,2.0,False,False,False
16,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_squeezeemptylines_numberlines,2.0,False,False,False
17,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_squeezeemptylines_numbernonblanklines,2.0,False,False,False
18,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testcharactercut1,1.0,False,False,False
20,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testrangecut1,1.0,False,False,False
22,36.0,unix4j,EchoCommand,org.unix4j.unix.echotest.testechoempty,0.0,False,False,False
24,36.0,unix4j,FromInputStream,org.unix4j.unix.frominputstream.testfrominputstream_filenotfound,0.0,False,False,False
26,36.0,unix4j,Unix4j,org.unix4j.unix.greptest.testgrepfilethendelete,0.0,False,True,True
28,36.0,unix4j,HeadCommand,org.unix4j.unix.headtest.testhead_6,1.0,False,False,False
31,36.0,unix4j,Ls,org.unix4j.unix.lstest.testlsalh,0.0,False,False,False
32,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_appendmissingbackslash4,0.0,False,False,False
35,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceglobalignorecase,4.0,False,False,False
37,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceoccurrence12,2.0,False,False,False
39,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceoccurrence3,4.0,False,False,False
40,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortignoreblanks,0.0,False,False,False
45,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortwithduplicatesignorecase,0.0,False,False,False
48,36.0,unix4j,UniqCommand,org.unix4j.unix.uniqtest.testuniq_global,2.0,False,False,False
49,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testemptyinput,0.0,False,False,True
50,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testmultipleoutputs,4.0,False,False,False
52,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testwccountchars,0.0,False,False,False
53,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testwclines,4.0,False,False,False
57,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testechowithlongoptionandmessage,2.0,False,False,False
58,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testgrepwithlongoptionandtwodelimiteddefaultoperands,2.0,False,False,True
