,idProject,nameProject,productionClass,testCase,NRDB,isMysteryGuestManual,isMysteryGuestManual,prediction
0,14.0,elastic-job-lite,ShardingContext,io.elasticjob.lite.api.shardingcontexttest.assertnew,12.0,False,False,False
1,14.0,elastic-job-lite,AverageAllocationJobShardingStrategy,io.elasticjob.lite.api.strategy.impl.averageallocationjobshardingstrategytest.shardingforserverslessthanshardingcountaliquot,0.0,False,False,False
2,14.0,elastic-job-lite,OdevitySortByNameJobShardingStrategy,io.elasticjob.lite.api.strategy.impl.odevitysortbynamejobshardingstrategytest.assertshardingbydesc,0.0,False,False,False
3,14.0,elastic-job-lite,RotateServerByNameJobShardingStrategy,io.elasticjob.lite.api.strategy.impl.rotateserverbynamejobshardingstrategytest.assertsharding3,0.0,False,False,False
4,14.0,elastic-job-lite,JobShardingStrategyFactory,io.elasticjob.lite.api.strategy.jobshardingstrategyfactorytest.assertgetdefaultstrategy,0.0,False,False,False
8,14.0,elastic-job-lite,TaskContext,io.elasticjob.lite.context.taskcontexttest.assertgetexecutorid,2.0,False,False,False
9,14.0,elastic-job-lite,TaskContext,io.elasticjob.lite.context.taskcontexttest.assertgetidforunassignedslave,1.0,False,False,False
10,14.0,elastic-job-lite,TaskContext,io.elasticjob.lite.context.taskcontexttest.assertnew,2.0,False,False,False
11,14.0,elastic-job-lite,TaskContext,io.elasticjob.lite.context.taskcontexttest.assertnewwithoutslaveid,2.0,False,False,False
14,14.0,elastic-job-lite,JobExecutionEvent,io.elasticjob.lite.event.jobexecutioneventtest.assertnewjobexecutionevent,0.0,False,False,False
15,14.0,elastic-job-lite,JobEventRdbConfiguration,io.elasticjob.lite.event.rdb.jobeventrdbconfigurationtest.assertcreatejobeventlistenerfailure,1.0,False,False,False
19,14.0,elastic-job-lite,JobEventRdbSearch,io.elasticjob.lite.event.rdb.jobeventrdbsearchtest.assertfindjobexecutioneventswithfields,3.0,True,True,False
23,14.0,elastic-job-lite,JobEventRdbSearch,io.elasticjob.lite.event.rdb.jobeventrdbsearchtest.assertfindjobstatustraceeventswithtime,6.0,True,True,False
29,14.0,elastic-job-lite,ExceptionUtil,io.elasticjob.lite.exception.exceptionutiltest.asserttransformwitherror,0.0,False,False,False
30,14.0,elastic-job-lite,JobStatisticException,io.elasticjob.lite.exception.jobstatisticexceptiontest.assertgetcause,0.0,False,False,False
32,14.0,elastic-job-lite,JobProperties,io.elasticjob.lite.executor.handler.jobpropertiestest.assertgetwhenvalueisnotempty,0.0,False,False,False
33,14.0,elastic-job-lite,JobProperties,io.elasticjob.lite.executor.handler.jobpropertiestest.assertjobpropertiesenumfrominvalidvalue,0.0,False,False,False
34,14.0,elastic-job-lite,JobProperties,io.elasticjob.lite.executor.handler.jobpropertiestest.assertputinvalidkey,0.0,False,False,False
35,14.0,elastic-job-lite,JobExecutorFactory,io.elasticjob.lite.executor.jobexecutorfactorytest.assertgetjobexecutorforsimplejob,0.0,False,False,False
39,14.0,elastic-job-lite,ScriptJobExecutor,io.elasticjob.lite.executor.type.scriptjobexecutortest.assertexecutewhenexecutefailureformultipleshardingitems,2.0,False,False,False
41,14.0,elastic-job-lite,SimpleJobExecutor,io.elasticjob.lite.executor.type.simplejobexecutortest.assertexecutewhenrunoncesuccess,7.0,False,False,False
42,14.0,elastic-job-lite,SimpleJobExecutor,io.elasticjob.lite.executor.type.simplejobexecutortest.assertexecutewhenrunoncesuccessforsingleshardingitems,2.0,False,False,False
43,14.0,elastic-job-lite,SimpleJobExecutor,io.elasticjob.lite.executor.type.simplejobexecutortest.assertexecutewhenrunoncewithmisfire,14.0,False,False,False
46,14.0,elastic-job-lite,ConfigurationService,io.elasticjob.lite.internal.config.configurationservicetest.assertismaxtimediffsecondstolerable,0.0,False,False,False
47,14.0,elastic-job-lite,ConfigurationService,io.elasticjob.lite.internal.config.configurationservicetest.assertloaddirectly,0.0,False,False,False
49,14.0,elastic-job-lite,LiteJobConfigurationGsonFactory,io.elasticjob.lite.internal.config.litejobconfigurationgsonfactorytest.assertfromjsonforsimplejob,0.0,False,False,False
