,idProject,nameProject,productionClass,testCase,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
0,25.0,junit-quickcheck,HashtableGenerator,com.pholser.junit.quickcheck.generator.java.util.hashtablegeneratortest.allowskeyandvaluewhenneitherisnull,0.4640763150854281,False,False,False
2,25.0,junit-quickcheck,Generator,com.pholser.junit.quickcheck.generatortest.addingcomponentsdoesnothing,0.5440838075919043,False,False,False
4,25.0,junit-quickcheck,CartesianIterator,com.pholser.junit.quickcheck.internal.cartesianiteratortest.manysourcesofmany,0.3724130005432177,False,True,True
5,25.0,junit-quickcheck,CartesianIterator,com.pholser.junit.quickcheck.internal.cartesianiteratortest.manysourcesofone,0.1419473246731801,False,True,True
6,25.0,junit-quickcheck,CartesianIterator,com.pholser.junit.quickcheck.internal.cartesianiteratortest.onesourceofmanyatpositionmid,0.1110815766886048,False,True,True
11,25.0,junit-quickcheck,Comparables,com.pholser.junit.quickcheck.internal.comparablestest.leastmagnitudepositivemaxonly,0.4901544620207257,False,True,False
12,25.0,junit-quickcheck,Comparables,com.pholser.junit.quickcheck.internal.comparablestest.leastmagnitudestraddlingzero,0.539435358549119,False,True,False
13,25.0,junit-quickcheck,ConstraintEvaluator,com.pholser.junit.quickcheck.internal.constraint.constraintevaluatortest.whenexpressioncontainsanundefinedvariable,0.2952694079233676,False,False,False
14,25.0,junit-quickcheck,ConstraintEvaluator,com.pholser.junit.quickcheck.internal.constraint.constraintevaluatortest.whenexpressionismalformed,0.366956857781642,False,False,True
17,25.0,junit-quickcheck,EnumGenerator,com.pholser.junit.quickcheck.internal.generator.enumgeneratortest.capabilityofshrinkingnonenum,0.3807809835975001,False,False,True
18,25.0,junit-quickcheck,PropertyParameterGenerationContext,com.pholser.junit.quickcheck.internal.generator.propertyparametergenerationcontexttest.whendiscardratioexceededevenwithsomesuccesses,0.6347280947052583,True,True,False
19,25.0,junit-quickcheck,GeometricDistribution,com.pholser.junit.quickcheck.internal.geometricdistributiontest.nonzeromeanprobability,0.5238089001484988,False,False,False
21,25.0,junit-quickcheck,GeometricDistribution,com.pholser.junit.quickcheck.internal.geometricdistributiontest.samplewithnoncertainprobability,0.5394827520269034,False,False,False
22,25.0,junit-quickcheck,Items,com.pholser.junit.quickcheck.internal.itemstest.choosingfromemptycollection,0.601488461564984,True,False,True
23,25.0,junit-quickcheck,Lists,com.pholser.junit.quickcheck.internal.liststest.removalsfromanemptylist,0.2735079970266824,False,False,False
24,25.0,junit-quickcheck,Lists,com.pholser.junit.quickcheck.internal.liststest.shrinksofnonemptylist,0.5130837427912585,False,False,False
28,25.0,junit-quickcheck,Reflection,com.pholser.junit.quickcheck.internal.reflectiontest.aninterfacethatoverrideshashcodeisnotasingleabstractmethodtype,0.6663009095123644,True,False,False
