idProject,nameProject,productionClass,testCase,NRDB,NRF,isMysteryGuest,isMysteryGuestManual
34,hadoop,ApplicationClassLoader,org.apache.hadoop.util.testapplicationclassloader.testconstructurlsfromclasspath,0.0,25.0,True,True
34,hadoop,ApplicationClassLoader,org.apache.hadoop.util.testapplicationclassloader.testgetresource,0.0,0.0,False,True
34,hadoop,CacheableIPList,org.apache.hadoop.util.testcacheableiplist.testaddwithsleepforcachetimeout,0.0,9.0,True,True
34,hadoop,ChunkedArrayList,org.apache.hadoop.util.testchunkedarraylist.testremovals,0.0,0.0,False,False
34,hadoop,Classpath,org.apache.hadoop.util.testclasspath.testhelp,0.0,0.0,False,False
34,hadoop,Classpath,org.apache.hadoop.util.testclasspath.testjarreplace,0.0,0.0,False,False
34,hadoop,CrcComposer,org.apache.hadoop.util.testcrccomposer.testupdatebytearraylengthunalignedwithcrcsize,0.0,0.0,False,False
34,hadoop,CrcUtil,org.apache.hadoop.util.testcrcutil.testintserialization,0.0,0.0,False,False
34,hadoop,CrcUtil,org.apache.hadoop.util.testcrcutil.testtomulticrcstringmultipleelements,0.0,0.0,False,False
34,hadoop,DataChecksum,org.apache.hadoop.util.testdatachecksum.testcrc32,0.0,0.0,False,False
34,hadoop,DataChecksum,org.apache.hadoop.util.testdatachecksum.testequality,0.0,0.0,False,False
34,hadoop,DataChecksum,org.apache.hadoop.util.testdatachecksum.testtostring,0.0,0.0,False,False
34,hadoop,DataChecksum,org.apache.hadoop.util.testdatachecksum.uncorruptbufferoffset,0.0,0.0,False,False
34,hadoop,DirectBufferPool,org.apache.hadoop.util.testdirectbufferpool.testbuffersarereset,1.0,0.0,True,False
34,hadoop,DiskChecker,org.apache.hadoop.util.testdiskchecker.testcheckdir_notdir_local,0.0,0.0,False,False
34,hadoop,DiskChecker,org.apache.hadoop.util.testdiskchecker.testcheckdir_notlistable,0.0,0.0,False,False
34,hadoop,DiskChecker,org.apache.hadoop.util.testdiskchecker.testcheckdir_notwritable_local,0.0,0.0,False,False
34,hadoop,DiskChecker,org.apache.hadoop.util.testdiskchecker.testmkdirs_direxists_badumask,0.0,0.0,False,False
34,hadoop,FastNumberFormat,org.apache.hadoop.util.testfastnumberformat.testlongwithpadding,0.0,0.0,False,False
34,hadoop,FileBasedIPList,org.apache.hadoop.util.testfilebasediplist.testforbadfile,0.0,2.0,True,True
34,hadoop,FileBasedIPList,org.apache.hadoop.util.testfilebasediplist.testsubnetsandips,0.0,2.0,True,True
34,hadoop,FileBasedIPList,org.apache.hadoop.util.testfilebasediplist.testwithmultiplesubnetandips,0.0,2.0,True,True
34,hadoop,FindClass,org.apache.hadoop.util.testfindclass.testcreatefailsinconstructor,0.0,0.0,False,False
34,hadoop,FindClass,org.apache.hadoop.util.testfindclass.testcreatefailsinprivateconstructor,0.0,0.0,False,False
